,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
IFL.AX,multipleSymbols,IFL.AX,2,1,2,2.00000000000005,2.00000000000005,2.00000000000005,0,2.00000000000005,0,NA,NA,100,0,NA,2.00000000000005,2.00000000000005,NA,NA,2.00000000000005,2.00000000000005,NA,NA,NA,-53,0.0377358490566038,NA,NA,36,-17,2
IFM.AX,multipleSymbols,IFM.AX,6,3,22,7.33333333333334,7.00000000000001,25,-9.99999999999999,32,-9.99999999999999,17.5023807904334,10.1050042608161,66.6666666666667,33.3333333333333,3.20000000000001,16,16,-9.99999999999999,-9.99999999999999,7.33333333333334,7.00000000000001,17.5023807904334,10.1050042608161,6.6512698518405,-24,0.916666666666667,1.6,1.6,46,-2,22
IFT.AX,multipleSymbols,IFT.AX,2,1,33,33,33,33,0,33,0,NA,NA,100,0,NA,33,33,NA,NA,33,33,NA,NA,NA,-10.0000000000001,3.29999999999998,NA,NA,33,0,33
IGE.AX,multipleSymbols,IGE.AX,4,2,2,1,1,1,0,2,0,0,0,100,0,NA,1,1,NA,NA,1,1,0,0,NA,-21.5,0.0930232558139535,NA,NA,21,-1,2
IGL.AX,multipleSymbols,IGL.AX,6,3,-10.5,-3.5,-6.00000000000001,2.50000000000001,-7.00000000000001,2.50000000000001,-13,5.22015325445529,3.01385688667086,33.3333333333333,66.6666666666667,0.192307692307693,2.50000000000001,2.50000000000001,-6.50000000000001,-6.50000000000001,-3.5,-6.00000000000001,5.22015325445529,3.01385688667086,-10.6435146295631,-20,-0.525,0.384615384615386,0.384615384615386,9.5,-10.5,-10.5
IHL.AX,multipleSymbols,IHL.AX,2,1,-26,-26,-26,0,-26,0,-26,NA,NA,0,100,0,NA,NA,-26,-26,-26,-26,NA,NA,NA,-26,-1,NA,NA,0,-26,-26
IMD.AX,multipleSymbols,IMD.AX,14,7,-11.5,-1.64285714285714,-3,11,-10.5,14.5,-26,7.20945146846766,2.72491652496498,42.8571428571429,57.1428571428571,0.557692307692308,4.83333333333333,3,-6.5,-6.25,-1.64285714285714,-3,7.20945146846766,2.72491652496498,-3.61741094335708,-50.5,-0.227722772277227,0.743589743589744,0.48,9.00000000000004,-41.5,-11.5
IME.AX,multipleSymbols,IME.AX,4,2,13,6.50000000000001,6.50000000000001,13,0,13,0,9.19238815542513,6.50000000000001,50,0,NA,13,13,NA,NA,6.50000000000001,6.50000000000001,9.19238815542513,6.50000000000001,11.2249721603218,-48,0.270833333333333,NA,NA,49,-25,13
IMR.AX,multipleSymbols,IMR.AX,4,2,23.5,11.75,11.75,39,-15.5,39,-15.5,38.5373195746669,27.25,50,50,2.51612903225806,39,39,-15.5,-15.5,11.75,11.75,38.5373195746669,27.25,4.840125610414,-27.5,0.854545454545454,2.51612903225806,2.51612903225806,43.5,-15.5,23.5
IMU.AX,multipleSymbols,IMU.AX,2,1,3.5,3.5,3.5,3.5,0,3.5,0,NA,NA,100,0,NA,3.5,3.5,NA,NA,3.5,3.5,NA,NA,NA,-8,0.4375,NA,NA,11,0,3.5
INA.AX,multipleSymbols,INA.AX,4,2,9.28519999999997,4.64260000000003,4.64260000000003,21.2852000000001,-12,21.2852000000001,-12,23.5361906331505,16.6426,50,50,1.77376666666667,21.2852000000001,21.2852000000001,-12,-12,4.64260000000003,4.64260000000003,23.5361906331505,16.6426,3.13130494943761,-34.0000000000001,0.273094117647058,1.77376666666667,1.77376666666667,32.2852,-10.9657,9.28519999999997
ING.AX,multipleSymbols,ING.AX,2,1,17,17,17,17,0,17,0,NA,NA,100,0,NA,17,17,NA,NA,17,17,NA,NA,NA,-11.0000000000001,1.54545454545454,NA,NA,26,0,17
INR.AX,multipleSymbols,INR.AX,12,6,14.5,2.41666666666667,0,11,-2,17,-2.5,5.02410854447499,2.0510837243868,33.3333333333333,33.3333333333333,6.80000000000001,8.5,8.5,-1.25,-1.25,2.41666666666667,0,5.02410854447499,2.0510837243868,7.63586090364722,-14,1.03571428571429,6.80000000000001,6.80000000000001,26.5,-2,14.5
INV.AX,multipleSymbols,INV.AX,2,1,6,6,6,6,0,6,0,NA,NA,100,0,NA,6,6,NA,NA,6,6,NA,NA,NA,-2.5,2.4,NA,NA,6,-2.5,6
IOD.AX,multipleSymbols,IOD.AX,2,1,2.5,2.5,2.5,2.5,0,2.5,0,NA,NA,100,0,NA,2.5,2.5,NA,NA,2.5,2.5,NA,NA,NA,-1.5,1.66666666666667,NA,NA,3.5,0,2.5
IPD.AX,multipleSymbols,IPD.AX,2,1,-10.3859,-10.3859,-10.3859,0,-10.3859,0,-10.3859,NA,NA,0,100,0,NA,NA,-10.3859,-10.3859,-10.3859,-10.3859,NA,NA,NA,-12.8587,-0.807694401455824,NA,NA,0,-12.8587,-10.3859
IPL.AX,multipleSymbols,IPL.AX,2,1,17,17,17,17,0,17,0,NA,NA,100,0,NA,17,17,NA,NA,17,17,NA,NA,NA,-11,1.54545454545455,NA,NA,20,-2,17
IRI.AX,multipleSymbols,IRI.AX,6,3,-17,-5.66666666666665,-4.99999999999998,3.00000000000002,-15,3.00000000000002,-20,9.0184995056458,5.20683311727111,33.3333333333333,66.6666666666667,0.150000000000001,3.00000000000002,3.00000000000002,-9.99999999999999,-9.99999999999999,-5.66666666666665,-4.99999999999998,9.0184995056458,5.20683311727111,-9.97455779865392,-57,-0.298245614035088,0.300000000000003,0.300000000000003,5,-52,-17
ISD.AX,multipleSymbols,ISD.AX,4,2,8,4,4,5.5,0,8,0,2.12132034355964,1.5,100,0,NA,4,4,NA,NA,4,4,2.12132034355964,1.5,29.9332590941915,-4.00000000000001,2,NA,NA,12,0,8
IXC.AX,multipleSymbols,IXC.AX,2,1,-6,-6.00000000000001,-6.00000000000001,0,-6.00000000000001,0,-6.00000000000001,NA,NA,0,100,0,NA,NA,-6.00000000000001,-6.00000000000001,-6.00000000000001,-6.00000000000001,NA,NA,NA,-10,-0.6,NA,NA,4,-6,-6
JAN.AX,multipleSymbols,JAN.AX,4,2,9.00000000000001,4.5,4.5,12,-3,12,-3,10.6066017177982,7.5,50,50,4,12,12,-3,-3,4.5,4.5,10.6066017177982,7.5,6.7349832961931,-7.99999999999999,1.125,4,4,9.00000000000001,-5.99999999999999,9.00000000000001
JIN.AX,multipleSymbols,JIN.AX,2,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,-27.0000000000001,0,NA,NA,23,-24.0000000000001,0
JLG.AX,multipleSymbols,JLG.AX,12,6,19.0000000000001,3.16666666666667,4.75,35.0000000000001,-30,54,-35,21.1108187114254,8.61845564923194,66.6666666666667,33.3333333333333,1.54285714285714,13.5,7.75,-17.5,-17.5,3.16666666666667,4.75,21.1108187114254,8.61845564923194,2.38120916092284,-58,0.327586206896553,0.771428571428572,0.442857142857143,33,-25,19.0000000000001
