,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
MGU.AX,multipleSymbols,MGU.AX,6,3,-8.3,-2.76666666666667,-3,0,-4.5,0,-8.3,1.86100331362771,1.07445076408575,0,100,0,NA,NA,-2.76666666666667,-3,-2.76666666666667,-3,1.86100331362771,1.07445076408575,-23.5998890716957,-8.3,-1,NA,NA,0,-8.3,-8.3
MGV.AX,multipleSymbols,MGV.AX,8,4,38,9.5,-0.25,42,-3.5,42,-4,21.7217249161602,10.8608624580801,25,50,10.5,42,42,-2,-2,9.5,-0.25,21.7217249161602,10.8608624580801,6.94271865207565,-16,2.375,21,21,52,-7.5,38
MGX.AX,multipleSymbols,MGX.AX,8,4,11.5,2.875,5,17.5,-16,28.5,-17,14.7330410981576,7.36652054907878,50,50,1.67647058823529,14.25,14.25,-8.5,-8.5,2.875,5,14.7330410981576,7.36652054907878,3.09774538819223,-16.5,0.696969696969697,1.67647058823529,1.67647058823529,27.5,-2,11.5
MHC.AX,multipleSymbols,MHC.AX,6,3,1.9,0.633333333333333,0.499999999999999,1.3,0,1.9,0,0.611010092660779,0.352766841475279,100,0,NA,0.633333333333333,0.499999999999999,NA,NA,0.633333333333333,0.499999999999999,0.611010092660779,0.352766841475279,16.4544826719043,-0.4,4.74999999999999,NA,NA,2.3,0,1.9
MHH.AX,multipleSymbols,MHH.AX,2,1,-1,-1,-1,0,-1,0,-1,NA,NA,0,100,0,NA,NA,-1,-1,-1,-1,NA,NA,NA,-9.5,-0.105263157894737,NA,NA,6.5,-3,-1
MIL.AX,multipleSymbols,MIL.AX,2,1,-9.5,-9.5,-9.5,0,-9.5,0,-9.5,NA,NA,0,100,0,NA,NA,-9.5,-9.5,-9.5,-9.5,NA,NA,NA,-14,-0.678571428571428,NA,NA,3.50000000000001,-10.5,-9.5
MIN.AX,multipleSymbols,MIN.AX,6,3,1180.0001,393.333366666666,540.999999999999,755.0001,-116,1296.0001,-116,453.888058335977,262.052392662233,66.6666666666667,33.3333333333333,11.1724146551724,648.00005,648.00005,-116,-116,393.333366666666,540.999999999999,453.888058335977,262.052392662233,13.7566378065862,-320.999900000001,3.67601391776133,5.5862073275862,5.5862073275862,1217,-116,1180.0001
MIO.AX,multipleSymbols,MIO.AX,2,1,-7.00000000000001,-7.00000000000001,-7.00000000000001,0,-7.00000000000001,0,-7.00000000000001,NA,NA,0,100,0,NA,NA,-7.00000000000001,-7.00000000000001,-7.00000000000001,-7.00000000000001,NA,NA,NA,-17,-0.411764705882353,NA,NA,10,-7.00000000000001,-7.00000000000001
MIR.AX,multipleSymbols,MIR.AX,2,1,14,14,14,14,0,14,0,NA,NA,100,0,NA,14,14,NA,NA,14,14,NA,NA,NA,-22,0.636363636363636,NA,NA,25,-3,14
MLD.AX,multipleSymbols,MLD.AX,2,1,-0.5,-0.499999999999989,-0.499999999999989,0,-0.499999999999989,0,-0.499999999999989,NA,NA,0,100,0,NA,NA,-0.499999999999989,-0.499999999999989,-0.499999999999989,-0.499999999999989,NA,NA,NA,-2,-0.25,NA,NA,0,-2,-0.5
